id,time,amt,cmt,dv,c,ID,evid,ss,ii,addl,rate,lagt,mode,dur2,rat2,bioav,dv,cp,mdv
1,0,0,2,0,.,5,0,0,0,0,0,0,0,2,10,0.412,.,0,1
1,0,100,2,0,.,5,1,1,12,3,10,0,0,2,10,0.412,.,2993.149068795464,1
1,1,0,2,0,.,5,0,0,0,0,0,0,0,2,10,0.412,.,3222.860965661636,1
1,2,0,2,0,.,5,0,0,0,0,0,0,0,2,10,0.412,.,3445.042010782861,1
1,3,0,2,0,.,5,0,0,0,0,0,0,0,2,10,0.412,.,3659.939094846028,1
1,4,0,2,0,.,5,0,0,0,0,0,0,0,2,10,0.412,.,3867.791014498559,1
1,5,0,2,0,.,5,0,0,0,0,0,0,0,2,10,0.412,.,3779.755867102926,1
1,6,0,2,0,.,5,0,0,0,0,0,0,0,2,10,0.412,.,3655.840730553275,1
1,7,0,2,0,.,5,0,0,0,0,0,0,0,2,10,0.412,.,3535.988015389026,1
1,8,0,2,0,.,5,0,0,0,0,0,0,0,2,10,0.412,.,3420.064539595682,1
1,9,0,2,0,.,5,0,0,0,0,0,0,0,2,10,0.412,.,3307.941487384522,1
1,10,0,2,0,.,5,0,0,0,0,0,0,0,2,10,0.412,.,3199.494266050703,1
1,11,0,2,0,.,5,0,0,0,0,0,0,0,2,10,0.412,.,3094.602367524098,1
1,12,0,2,0,.,5,0,0,0,0,0,0,0,2,10,0.412,.,2993.149234459042,1
1,13,0,2,0,.,5,0,0,0,0,0,0,0,2,10,0.412,.,3222.861125894117,1
1,14,0,2,0,.,5,0,0,0,0,0,0,0,2,10,0.412,.,3445.042165762296,1
1,15,0,2,0,.,5,0,0,0,0,0,0,0,2,10,0.412,.,3659.939244744633,1
1,16,0,2,0,.,5,0,0,0,0,0,0,0,2,10,0.412,.,3867.791159482903,1
1,17,0,2,0,.,5,0,0,0,0,0,0,0,2,10,0.412,.,3779.756007334116,1
1,18,0,2,0,.,5,0,0,0,0,0,0,0,2,10,0.412,.,3655.84086618714,1
1,19,0,2,0,.,5,0,0,0,0,0,0,0,2,10,0.412,.,3535.988146576284,1
1,20,0,2,0,.,5,0,0,0,0,0,0,0,2,10,0.412,.,3420.06466648211,1
1,21,0,2,0,.,5,0,0,0,0,0,0,0,2,10,0.412,.,3307.941610111118,1
1,22,0,2,0,.,5,0,0,0,0,0,0,0,2,10,0.412,.,3199.494384753844,1
1,23,0,2,0,.,5,0,0,0,0,0,0,0,2,10,0.412,.,3094.602482335687,1
1,24,0,2,0,.,5,0,0,0,0,0,0,0,2,10,0.412,.,2993.149345506659,1
1,25,0,2,0,.,5,0,0,0,0,0,0,0,2,10,0.412,.,3222.86123330116,1
1,26,0,2,0,.,5,0,0,0,0,0,0,0,2,10,0.412,.,3445.042269648117,1
1,27,0,2,0,.,5,0,0,0,0,0,0,0,2,10,0.412,.,3659.939345224672,1
1,28,0,2,0,.,5,0,0,0,0,0,0,0,2,10,0.412,.,3867.791256668814,1
1,29,0,2,0,.,5,0,0,0,0,0,0,0,2,10,0.412,.,3779.756101333896,1
1,30,0,2,0,.,5,0,0,0,0,0,0,0,2,10,0.412,.,3655.84095710524,1
1,31,0,2,0,.,5,0,0,0,0,0,0,0,2,10,0.412,.,3535.988234513734,1
1,32,0,2,0,.,5,0,0,0,0,0,0,0,2,10,0.412,.,3420.0647515366272,1
1,33,0,2,0,.,5,0,0,0,0,0,0,0,2,10,0.412,.,3307.941692377216,1
1,34,0,2,0,.,5,0,0,0,0,0,0,0,2,10,0.412,.,3199.494464322938,1
1,35,0,2,0,.,5,0,0,0,0,0,0,0,2,10,0.412,.,3094.602559296197,1
1,36,0,2,0,.,5,0,0,0,0,0,0,0,2,10,0.412,.,2993.149419944103,1
1,37,0,2,0,.,5,0,0,0,0,0,0,0,2,10,0.412,.,3222.861305298254,1
1,38,0,2,0,.,5,0,0,0,0,0,0,0,2,10,0.412,.,3445.042339284866,1
1,39,0,2,0,.,5,0,0,0,0,0,0,0,2,10,0.412,.,3659.939412578457,1
1,40,0,2,0,.,5,0,0,0,0,0,0,0,2,10,0.412,.,3867.79132181448,1
1,41,0,2,0,.,5,0,0,0,0,0,0,0,2,10,0.412,.,3779.756164343832,1
1,42,0,2,0,.,5,0,0,0,0,0,0,0,2,10,0.412,.,3655.841018049464,1
1,43,0,2,0,.,5,0,0,0,0,0,0,0,2,10,0.412,.,3535.988293459969,1
1,44,0,2,0,.,5,0,0,0,0,0,0,0,2,10,0.412,.,3420.064808550374,1
