id,time,amt,cmt,dv,evid,ss,ii,addl,rate,lagt,mode,dur2,rat2,bioav,dv,cp,mdv
1,0,0,0,0,0,0,0,0,0,0,0,2,10,1,0,0,1
1,0,10,2,0,1,0,0,0,0,0,0,2,10,1,333.3333333333334,333.3333333333334,1
1,1,0,0,0,0,0,0,0,0,0,0,2,10,1,322.4053668273353,322.4053668273353,1
1,2,0,0,0,0,0,0,0,0,0,0,2,10,1,311.8356616772059,311.8356616772059,1
1,3,0,0,0,0,0,0,0,0,0,0,2,10,1,301.6124726786532,301.6124726786532,1
1,4,0,0,0,0,0,0,0,0,0,0,2,10,1,291.7244396809824,291.7244396809824,1
1,5,0,0,0,0,0,0,0,0,0,0,2,10,1,282.160574963538,282.160574963538,1
1,6,0,0,0,0,0,0,0,0,0,0,2,10,1,272.9102510259939,272.9102510259939,1
1,7,0,0,0,0,0,0,0,0,0,0,2,10,1,263.9631887789272,263.9631887789272,1
1,8,0,0,0,0,0,0,0,0,0,0,2,10,1,255.3094461215495,255.3094461215495,1
1,9,0,0,0,0,0,0,0,0,0,0,2,10,1,246.939406893906,246.939406893906,1
1,10,0,0,0,0,0,0,0,0,0,0,2,10,1,238.8437701912631,238.8437701912631,1
1,11,0,0,0,0,0,0,0,0,0,0,2,10,1,231.0135400288138,231.0135400288138,1
1,12,0,0,0,0,0,0,0,0,0,0,2,10,1,223.4400153452131,223.4400153452131,1
1,12,10,1,0,4,0,0,0,0,0,0,2,10,1,0,0,1
1,13,0,0,0,0,0,0,0,0,0,0,2,10,1,253.6656614773555,253.6656614773555,1
1,14,0,0,0,0,0,0,0,0,0,0,2,10,1,301.949971589916,301.949971589916,1
1,15,0,0,0,0,0,0,0,0,0,0,2,10,1,304.6801436924036,304.6801436924036,1
1,16,0,0,0,0,0,0,0,0,0,0,2,10,1,297.5095114316868,297.5095114316868,1
1,17,0,0,0,0,0,0,0,0,0,0,2,10,1,288.3847638137953,288.3847638137953,1
1,18,0,0,0,0,0,0,0,0,0,0,2,10,1,279.0706852070097,279.0706852070097,1
1,19,0,0,0,0,0,0,0,0,0,0,2,10,1,269.9529647343518,269.9529647343518,1
1,20,0,0,0,0,0,0,0,0,0,0,2,10,1,261.1098389155552,261.1098389155552,1
1,21,0,0,0,0,0,0,0,0,0,0,2,10,1,252.5511987690789,252.5511987690789,1
1,22,0,0,0,0,0,0,0,0,0,0,2,10,1,244.271933410728,244.271933410728,1
1,23,0,0,0,0,0,0,0,0,0,0,2,10,1,236.263824487639,236.263824487639,1
1,24,0,0,0,0,0,0,0,0,0,0,2,10,1,228.5181923201112,228.5181923201112,1
